Notification_ID;Status_Type;Required_Action;Accident_ID;Accident_Date;Accident_Month;Accident_Type;Camera_ID;Coordinates;Camera_Name
1;Accident;Send_Help;1;12/17/2021;12;Accident_With_Animal;1;1,84E+11;Eindhoven_2
2;Warning;Send_Help;2;2-2-2021;2;Accident_With_Animal;2;10114921986;Amsterdam_3
3;Warning;Send_First_Responders;3;6/24/2021;6;Accident_With_Animal;3;1,99E+11;Utrecht_1
4;All_Clear;No_Action_Required;4;5/30/2021;5;;4;1,28E+11;DenHaag_4
5;Accident;Send_Help;5;3/14/2021;3;Accident_With_Animal;5;53158124117;Breda_1
6;Accident;Send_Help;6;5-5-2021;5;Accident_With_Animal;6;1,26E+11;Helmond_2
7;All_Clear;No_Action_Required;7;2-8-2021;2;;7;412223376;Deurne_2
8;Accident;Send_Help;8;5/25/2021;5;Accident_With_Animal;8;1,80E+11;Rotterdam_5
9;All_Clear;No_Action_Required;9;9-8-2021;9;;9;2,39E+11;Nijmegen_1
10;Warning;No_Action_Required;10;2/22/2021;2;Accident_With_Object;10;55199172242;Tilburg_3
11;All_Clear;Send_First_Responders;11;3-6-2021;3;;11;2121615658;Schiphol_1
12;All_Clear;No_Action_Required;12;1-12-2021;1;;12;991797936;Haarlem_2
13;Warning;Send_First_Responders;13;10-12-2021;10;Accident_With_Object;13;1,62E+11;Arnhem_1
14;Accident;Send_Help;14;4/28/2021;4;Accident_With_Object;14;19912017418;Hilversum_2
15;Warning;Send_First_Responders;15;1/25/2021;1;Accident_With_Object;15;451710123;Alkmaar_2
16;Accident;Send_Help;16;5/25/2021;5;Accident_With_Person;16;14921165242;Zaandam_3
17;Warning;Send_First_Responders;17;6/30/2021;6;Accident_With_Person;17;2191617226;Gouda_2
18;Warning;Send_First_Responders;18;4/26/2021;4;Accident_With_Animal;18;1,27E+11;Delft_1
19;Warning;Send_First_Responders;19;4-3-2021;4;Accident_With_Object;19;1461720213;Zwolle_2
20;Warning;Send_First_Responders;20;7/14/2021;7;Accident_With_Animal;20;173994041;Bijlmer_1
21;All_Clear;No_Action_Required;21;9-10-2021;9;;21;22024215826;Haarlem_1
22;Warning;Send_First_Responders;22;4-4-2021;4;Accident_With_Object;22;148319130;Amersfoort_4
23;Warning;Send_First_Responders;23;7/26/2021;7;Accident_With_Object;23;666321019;Nijmegen_2
24;Warning;Send_First_Responders;24;7/21/2021;7;Accident_With_Animal;24;51159164132;Tilburg_3
25;Warning;Send_First_Responders;25;9/20/2021;9;Accident_With_Person;25;1,14E+11;Schiphol_1
26;All_Clear;No_Action_Required;26;9-10-2021;9;;26;1786313241;Haarlem_2
27;Accident;Send_Help;27;7/22/2021;7;Accident_With_Object;27;214585215;Arnhem_1
28;Accident;Send_Help;28;11/17/2021;11;Accident_With_Animal;28;2,29E+11;Hilversum_2
29;Accident;Send_Help;29;3-2-2021;3;Accident_With_Animal;29;178717471;Alkmaar_2
30;All_Clear;No_Action_Required;30;3/21/2021;3;;30;2264893225;Zaandam_3
31;Accident;Send_Help;31;11-11-2021;11;Accident_With_Object;31;8123818151;Eindhoven_2
32;Accident;Send_Help;32;8/19/2021;8;Accident_With_Person;32;677575126;DenHaag_4
33;Accident;Send_Help;33;7/25/2021;7;Accident_With_Person;33;5841110130;Deurne_2
34;All_Clear;No_Action_Required;34;10-4-2021;10;;34;86146198155;Nijmegen_1
35;Accident;Send_Help;35;5/23/2021;5;Accident_With_Person;35;14943189249;Arnhem_1
36;Warning;Send_First_Responders;36;12-8-2021;12;Accident_With_Animal;36;2,05E+11;Zaandam_3
37;Accident;Send_Help;37;8/31/2021;8;Accident_With_Object;37;80421969;Delft_1
38;Accident;Send_First_Responders;38;10/31/2021;10;Accident_With_Person;38;63622051;Bijlmer_1
39;Accident;Send_Help;39;11/22/2021;11;Accident_With_Object;39;24213329;Breda_1
40;Warning;Send_First_Responders;40;9/16/2021;9;Accident_With_Object;40;1618825181;Rotterdam_2
41;Accident;Send_Help;41;11/28/2021;11;Accident_With_Person;41;2289318674;Schiphol_1
42;Warning;Send_First_Responders;42;4/20/2021;4;Accident_With_Animal;42;1,44E+11;Zaandam_3
43;Accident;Send_Help;43;10-8-2021;10;Accident_With_Object;43;2,48E+11;Delft_1
44;Warning;Send_First_Responders;44;8-1-2021;8;Accident_With_Object;44;127349728;Haarlem_1
45;Accident;Send_Help;45;4/16/2021;4;Accident_With_Person;45;2234312214;Tilburg_3
46;Warning;Send_First_Responders;46;4-11-2021;4;Accident_With_Animal;46;24617957238;Haarlem_2
47;Accident;Send_Help;47;11-3-2021;11;Accident_With_Person;47;21222396125;Hilversum_2
48;Accident;Send_Help;48;10/19/2021;10;Accident_With_Person;48;2174495178;DenHaag_4
49;All_Clear;No_Action_Required;49;11-4-2021;11;;49;1,53E+11;Zaandam_3
50;Accident;Send_Help;50;12/20/2021;12;Accident_With_Person;50;10444597;Denventer_1
